location_name,Location_Category_Description,LATITUDE,LONGITUDE
"The High School for Enterprise, Business and Techn",High school,40.711134,-73.938921
Erasmus Campus - Business/Tec,High school,40.6495,-73.9585
Bushwick Hs,High school,40.697,-73.9108
The Urban Assembly School for Law and Justice,High school,40.694629,-73.988323
Ronald Edmonds Learning Center II,Junior High-Intermediate-Middle,40.673124,-73.920095
High School of Telecommunication Arts and Technolo,High school,40.636721,-74.023419
New Dawn Charter High School,High school,40.691606,-73.946093
Brooklyn Preparatory High School,High school,40.715561,-73.954815
W.E.B. Dubois Academic High School,High school,40.669561,-73.955188
Fort Hamilton High School,High school,40.626827,-74.038103
Academy of Arts and Letters,K-8,40.690742,-73.970896
Brooklyn Collegiate: A College Board School,High school,40.674456,-73.912685
"Urban Assembly Young Women's Academy For Math, Sci",Secondary School,40.696698,-73.947557
Sheepshead Bay High School,High school,40.593157,-73.936635
The Boerum Hill School for International Studies,Secondary School,40.685006,-73.993293
Brooklyn High School for Law and Technology,High school,40.688399,-73.920603
ACORN Community High School,High school,40.678591,-73.961636
Canarsie High School,High school,40.640543,-73.898601
FDNY - Captain Vernon A. Richard High School for F,High school,40.666868,-73.895122
P.S. 503: The School of Discovery,Elementary,40.64195,-74.019299
High School for Civil Rights,High school,40.666868,-73.895122
Franklin Delano Roosevelt High School,High school,40.621299,-73.982583
P.S. 506: The School of Journalism & Technology,Elementary,40.64195,-74.019299
Performing Arts and Technology High School,High school,40.666868,-73.895122
Achievement First Endeavor Charter School,K-12 all grades,40.682422,-73.965928
Freedom Academy High School,High school,40.698274,-73.986523
World Academy for Total Community Health High Scho,High school,40.666868,-73.895122
Bushwick Outreach,High school,40.6954,-73.9151
East New York Preparatory Charter School,Elementary,40.666187,-73.911279
Frederick Douglass Academy VII High School,High school,40.665568,-73.912102
South Shore High School,High school,40.634451,-73.916927
Sunset Park Avenues Elementary School,Elementary,40.650793,-74.008106
Leadership Prep Bedford Stuyvesant Uncommon Prep C,K-12 all grades,40.68192,-73.9456
Kappa V (Knowledge and Power Preparatory Academy),Junior High-Intermediate-Middle,40.655644,-73.906662
Cobble Hill School of American Studies,High school,40.684869,-73.990884
Pacific High School,High school,40.690007,-73.989369
District 18 ES#1,Elementary,40.642684,-73.90788
Mott Hall IV,Junior High-Intermediate-Middle,40.678124,-73.915106
New Horizons Preparatory School,High school,40.606745,-73.938721
International High School at Prospect Heights,High school,40.669805,-73.960689
Edward R. Murrow High School,High school,40.619671,-73.959141
Urban Assembly Institute of Math and Science for Y,Secondary School,40.694629,-73.988323
The High School for Global Citizenship,High school,40.669805,-73.960689
West Brooklyn Community High School,High school,40.642619,-73.992151
Metropolitan Corporate Academy High School,High school,40.686147,-73.979829
"School for Human Rights, The",Secondary School,40.658671,-73.943839
New Bridges Elementary,Elementary,40.669557,-73.934316
School for Democracy and Leadership,Secondary School,40.658671,-73.943839
Upper School @ P.S. 25,Junior High-Intermediate-Middle,40.691472,-73.940749
Leon M. Goldstein High School for the Sciences,High school,40.578356,-73.934449
Community Roots Charter School,K-8,40.695339,-73.977674
High School for Youth and Community Development at,High school,40.649602,-73.957173
Achievement First Bushwick Charter School,K-12 all grades,40.697898,-73.919088
High School for Service & Learning at Erasmus,High school,40.649602,-73.957173
John Dewey High School,High school,40.58807,-73.981925
"Science, Technology and Research Early College Hig",Secondary School,40.649602,-73.957173
International Arts Business School,High school,40.658671,-73.943839
EBC High School for Public Service - Bushwick,High school,40.694723,-73.929315
High School for Public Service: Heroes of Tomorrow,High school,40.658671,-73.943839
Brooklyn Academy of Science and the Environment,High school,40.669805,-73.960689
Brooklyn School for Music & Theatre,High school,40.669805,-73.960689
The Brooklyn School for Social Justice,High school,40.696457,-73.911751
New York Harbor School,High school,40.696457,-73.911751
The Academy of Urban Planning and Engineering,High school,40.696457,-73.911751
Brooklyn Academy High School,High school,40.684654,-73.947873
All City Leadership Secondary School,Secondary School,40.697378,-73.913172
Brooklyn College Academy,High school,40.649055,-73.972312
Bushwick Leaders High School for Academic Excellen,High school,40.695436,-73.927349
Brooklyn Gardens Elementary School,Elementary,40.665446,-73.897604
Williamsburg High School for Architecture and Desi,High school,40.715561,-73.954815
Life Academy High School for Film and Music,High school,40.593028,-73.986313
Williamsburg Preparatory School,High school,40.715561,-73.954815
Evergreen Middle School for Urban Exploration,Junior High-Intermediate-Middle,40.688647,-73.910589
It Takes a Village Academy,High school,40.647728,-73.922212
Bushwick Community High School,High school,40.695875,-73.915217
Brooklyn Community High School for Excellence and,High school,40.634451,-73.916927
Brooklyn Theatre Arts High School,High school,40.634451,-73.916927
Brownsville Academy High School,High school,40.666251,-73.923881
Kurt Hahn Expeditionary Learning School,High school,40.647728,-73.922212
M.S. 571,Junior High-Intermediate-Middle,40.678554,-73.966333
Leaders High School,High school,40.593028,-73.986313
Upper Academy At Ps 23,Junior High-Intermediate-Middle,40.6941,-73.9476
Bedford Stuyvesant Preparatory High School,High school,40.684654,-73.947873
Victory Collegiate High School,High school,40.634451,-73.916927
Conselyea Preparatory School,Junior High-Intermediate-Middle,40.715268,-73.9573
Brooklyn Bridge Academy,High school,40.634451,-73.916927
Upper Academy At Ps 147,Junior High-Intermediate-Middle,40.7052,-73.9394
Literacy Center - Brooklyn,High school,40.685,-73.9472
"The Middle School of Media, Law and Fine Arts",Junior High-Intermediate-Middle,40.659088,-73.928744
M.S. 582,Junior High-Intermediate-Middle,40.708804,-73.939385
Multicultural High School,High school,40.693002,-73.869305
M.S. 584,Junior High-Intermediate-Middle,40.674491,-73.928673
Brooklyn Comprehensive Night High School,High school,40.6333,-73.9167
Lyons Community School,Secondary School,40.709765,-73.944463
Middle School for the Arts,Junior High-Intermediate-Middle,40.662092,-73.936313
Middle School for Art and Philosophy,Junior High-Intermediate-Middle,40.657712,-73.919818
Arts & Media Preparatory Academy,High school,40.659088,-73.928744
Medgar Evers College Preparatory School,Secondary School,40.66679,-73.951823
Khalil Gibran International Academy,High school,40.686147,-73.979829
Excellence Boys Charter School,K-8,40.683446000000004,-73.925851
Gotham Professional Arts Academy,High school,40.678591,-73.961636
Bedford Academy High School,High school,40.685486,-73.953692
M.S. 596 Peace Academy,Junior High-Intermediate-Middle,40.692015,-73.95818
Middle School of Marketing and Legal Studies,Junior High-Intermediate-Middle,40.659088,-73.928744
Brooklyn Landmark Elementary School,Elementary,40.680679,-73.910719
Clara Barton High School,High school,40.669805,-73.960689
George Westinghouse Career and Technical Education,High school,40.695444,-73.986105
George Westinghouse Career and Technical Education,High school,40.695444,-73.986105
Kings Collegiate Charter School,K-12 all grades,40.657712,-73.919818
Urban Assembly School for Criminal Justice,Secondary School,40.6351,-73.982424
A-Tech High School,High school,40.721448,-73.953328
Origins High School,High school,40.593157,-73.936635
Community Preparatory High School,High school,40.7444,-73.9848
Young Women's Leadership School of Brooklyn,Secondary School,40.705005,-73.93879
Transit Tech Career and Technical Education High S,High school,40.67878,-73.875328
Brooklyn High School for Leadership and Community,High school,40.692015,-73.95818
High School for Innovation in Advertising and Medi,High school,40.640543,-73.898601
Academy of Innovative Technology,High school,40.693002,-73.869305
William E. Grady Career and Technical Education Hi,High school,40.583263,-73.963764
Paul Robeson High School,High school,40.675905,-73.939282
Achievement First Brownsville Charter School,K-12 all grades,40.674456,-73.912685
Brighter Choice Community School,Elementary,40.693654,-73.941278
Brooklyn Brownstone School,Elementary,40.681528,-73.935891
Cultural Academy for the Arts and Sciences,High school,40.647728,-73.922212
Professional Pathways High School,High school,40.593157,-73.936635
General D. Chappie James Elementary School of Scie,Elementary,40.659618,-73.913508
Frances Perkins Academy,High school,40.721448,-73.953328
High School for Medical Professions,High school,40.640543,-73.898601
General D. Chappie James Middle School of Science,Junior High-Intermediate-Middle,40.659618,-73.913508
Olympus Academy,High school,40.645965,-73.898607
Olympus Academy,High school,40.645965,-73.898607
Young Scholars' Academy for Discovery and Explorat,Elementary,40.693654,-73.941278
Academy for Conservation and the Environment,High school,40.634451,-73.916927
Brooklyn Lab School,High school,40.693002,-73.869305
Harry Van Arsdale High School,High school,40.7151,-73.9548
Urban Action Academy,High school,40.640543,-73.898601
Brooklyn Democracy Academy,High school,40.655644,-73.906662
Eagle Academy for Young Men II,Secondary School,40.678124,-73.915106
EBC/ENY High School for Public Safety & Law,High school,40.677528,-73.904143
Aspirations Diploma Plus High School,High school,40.669561,-73.955188
Metropolitan Diploma Plus High School,High school,40.655644,-73.906662
Bedford Stuyvesant Collegiate Charter School,Secondary School,40.68797,-73.932066
La Cima Charter School,Elementary,40.68797,-73.932066
PAVE Academy Charter School,K-8,40.675936,-74.003372
Brooklyn Ascend Charter School,K-12 all grades,40.661945,-73.92044
Van Siclen Community Middle School,Junior High-Intermediate-Middle,40.659934,-73.885704
Brooklyn High School of the Arts,High school,40.683951,-73.980266
Cypress Hills Collegiate Preparatory School,High school,40.693002,-73.869305
W. H. Maxwell Career and Technical Education High,High school,40.673766,-73.895976
Vista Academy,Junior High-Intermediate-Middle,40.677112,-73.884211
Liberty Avenue Middle School,Junior High-Intermediate-Middle,40.677112,-73.884211
School of the Future Brooklyn,Junior High-Intermediate-Middle,40.665446,-73.897604
Brooklyn Environmental Exploration School (BEES),Junior High-Intermediate-Middle,40.680679,-73.910719
Sunset Park High School,High school,40.655583,-74.004342
Riverdale Avenue Middle School,Junior High-Intermediate-Middle,40.659618,-73.913508
Research and Service High School,High school,40.678478,-73.931604
Benjamin Banneker Academy,High school,40.695389,-73.968759
Mott Hall Bridges Academy,Junior High-Intermediate-Middle,40.666187,-73.911279
New Eagle Academy at K455,Secondary School,40.678478,-73.931604
East Brooklyn Community High School,High school,40.659914,-73.920658
"City Polytechnic High School of Engineering, Archi",High school,40.695444,-73.986105
"City Polytechnic High School of Engineering, Archi",High school,40.695444,-73.986105
Red Hook Neighborhood School,Elementary,40.677914,-74.005151
East New York Elementary School of Excellence,Elementary,40.669358,-73.879131
East New York Middle School of Excellence,Junior High-Intermediate-Middle,40.669358,-73.879131
Achievement First Aspire Charter School,Elementary,40.665817,-73.876084
Madiba Prep Middle School,Junior High-Intermediate-Middle,40.6921,-73.9317
Madiba Prep Middle School,Junior High-Intermediate-Middle,40.6921,-73.9317
The Academy of Talented Scholars,Elementary,40.606994,-73.986678
School for Classics High School,High school,40.67002,-73.874537
Millennium Brooklyn HS,High school,40.669255,-73.97858
El Puente Academy for Peace and Justice,High school,40.70554,-73.955741
Brooklyn School of Inquiry,K-8,40.606994,-73.986678
The Brooklyn Academy of Global Finance,High school,40.691467,-73.932254
Citizens of the World Charter School 1 Williamsbur,Elementary,40.719818,-73.947932
Brooklyn Studio Secondary School,Secondary School,40.60498,-73.995084
Fort Greene Preparatory Academy,Junior High-Intermediate-Middle,40.69453,-73.971644
Citizens of the World Charter School New York 2 Cr,Elementary,40.663964,-73.935753
Northside Charter High School,High school,40.719818,-73.947932
Believe Southside Charter High School,High school,40.719818,-73.947932
Teachers Preparatory High School,Secondary School,40.665568,-73.912102
South Brooklyn Community High School,High school,40.677968,-74.014363
Brooklyn Charter School,Elementary,40.69447,-73.947256
Community Partnership Charter School,K-8,40.691275,-73.961134
Beginning With Children Charter School,K-8,40.695397,-73.959999
Explore Charter School,K-8,40.656423,-73.951575
Brooklyn Arts and Science Elementary School,Elementary,40.6771,-73.960093
Brooklyn Prospect Charter School,K-12 all grades,40.647893,-73.97872
Brownsville Collegiate Charter School,Junior High-Intermediate-Middle,40.668768,-73.90514
Leadership Preparatory Brownsville Charter School,K-8,40.655644,-73.906662
Excellence Girls Charter School,K-12 all grades,40.6881,-73.924422
P.S. K721 - Brooklyn Occupational Training Center,High school,40.58807,-73.981925
New Heights Middle School,Junior High-Intermediate-Middle,40.662092,-73.936313
Leadership Prep Canarsie Charter School (Leadershi,K-8,40.644134,-73.892797
Fahari Academy Charter School,Secondary School,40.648352,-73.95348
Liberation Diploma Plus,High school,40.576976,-73.985413
Summit Academy Charter School,Secondary School,40.677914,-74.005151
Brooklyn Excelsior Charter School,K-8,40.689569,-73.925087
"Math, Engineering, and Science Academy Charter Hig",High school,40.695875,-73.915217
The Ethical Community Charter School (TECCS),Elementary,40.697377,-73.948166
New American Academy Charter School,Elementary,40.651642,-73.914282
Brownsville Ascend Charter School,K-8,40.668608,-73.918123
New Visions Charter High School for Advanced Math,High school,40.593157,-73.936635
New Visions Charter High School for the Humanities,High school,40.593157,-73.936635
Brooklyn Scholars Charter School,K-8,40.669356,-73.867138
Success Academy Crown Heights (Brooklyn 7),Elementary,40.665757,-73.949243
Explore Empower Charter School,K-8,40.67271,-73.928917
Coney Island Preparatory Public Charter School,K-12 all grades,40.582518,-73.972009
Coney Island Preparatory Public Charter School,K-12 all grades,40.582518,-73.972009
Brooklyn Institute for Liberal Arts,High school,40.658671,-73.943839
Hebrew Language Academy Charter School,K-8,40.612258,-73.914312
P.S. 747 A Great Start Academy,Elementary,40.672216,-73.906018
P.S. 748 Brooklyn School for Global Scholars,Elementary,40.606739,-74.007469
Brooklyn High School For Young Men,High school,40.686147,-73.979829
Academy for Health Careers,High school,40.675905,-73.939282
Success Academy Fort Greene (Brooklyn 5),Elementary,40.697177,-73.976104
P.S. K753 - School for Career Development,High school,40.682576,-73.969248
Success Academy Prospect Heights (Brooklyn 6),K-8,40.673943,-73.951559
Success Academy Prospect Heights (Brooklyn 6),K-8,40.673943,-73.951559
Unity Prep Charter School,Secondary School,40.686213,-73.940859
Brooklyn Urban Garden Charter School,Junior High-Intermediate-Middle,40.656202,-73.982624
Canarsie Ascend Charter School,Elementary,40.643834,-73.900432
Highland Park Community School,Junior High-Intermediate-Middle,40.685852,-73.869434
Brooklyn Science and Engineering Academy,Junior High-Intermediate-Middle,40.647851,-73.925592
The Urban Assembly School for Collaborative Health,High school,40.693002,-73.869305
Nelson Mandela High School,High school,40.678478,-73.931604
The International Charter School of New York,Elementary,40.692434,-73.986867
Hyde Leadership Charter School- Brooklyn,Elementary,40.667985,-73.898249
Bushwick Ascend Charter School,K-8,40.693748,-73.90892
P.S. 770 New American Academy,Elementary,40.663388,-73.927979
P.S. K771,K-12 all grades,40.58026,-73.955856
Success Academy Charter School - Bensonhurst - New,Elementary,40.608135,-73.984985
Achievement First Apollo Charter School,K-8,40.677112,-73.884211
Leadership Preparatory Ocean Hill Charter School,K-12 all grades,40.672216,-73.906018
Ocean Hill Collegiate Charter School,Junior High-Intermediate-Middle,40.678124,-73.915106
Brooklyn East Collegiate Charter School,Junior High-Intermediate-Middle,40.684654,-73.947873
Success Academy Charter School - Bergen Beach - Ne,Elementary,40.620537,-73.912914
Bedford Stuyvesant New Beginnings Charter School,K-8,40.694676,-73.937717
Achievement First North Brooklyn Prep Charter Scho,Elementary,40.693542,-73.915159
Imagine Me Leadership Charter School,Elementary,40.660077,-73.883469
Achievement First Linden Elementary School,Elementary,40.659934,-73.885704
Compass Charter School,Elementary,40.688769,-73.971474
Central Brooklyn Ascend Charter School,Elementary,40.638957,-73.948982
Brooklyn Dreams Charter School,K-8,40.632149,-73.969887
The Cultural Arts Academy at Spring Creek Charter,Elementary,40.65452,-73.908341
Lefferts Gardens Charter School,Elementary,40.656276,-73.95381
New Hope Academy Charter School,Elementary,40.643897,-73.922733
Brooklyn LAB Charter School,Junior High-Intermediate-Middle,40.70043,-73.987399
Collegiate Academy for Math and Personal Awareness,Junior High-Intermediate-Middle,40.65787,-73.888775
P.S. K811 Connie Lekas School,Secondary School,40.591132,-73.93861
Sunset Park Prep,Junior High-Intermediate-Middle,40.652127,-74.007596
M.S. 839,Junior High-Intermediate-Middle,40.647598,-73.973363
Achievement First Voyager Charter School,Secondary School,40.656276,-73.95381
Brooklyn Prospect Charter School Downtown,K-8,40.681102,-73.956832
Success Academy Charter School - Bushwick,Elementary,40.695975,-73.919653
Success Academy Charter School - Bed Stuy 3,Junior High-Intermediate-Middle,40.691472,-73.940749
Success Academy Charter School - Flatbush,Elementary,40.64879,-73.957501
P.S. 889,Elementary,40.644861,-73.97101
M.S. 890,Junior High-Intermediate-Middle,40.644861,-73.97101
Brooklyn Emerging Leaders Academy,High school,40.691467,-73.932254
Hebrew Language Academy Charter School 2,Elementary,40.600808,-73.986345
The School of Creativity and Innovation,Elementary,40.643018,-74.004306
The Brooklyn Green School,Junior High-Intermediate-Middle,40.674491,-73.928673
Legacy School of the Arts,Junior High-Intermediate-Middle,40.662243,-73.894877
Cypress Hills Ascend Charter School,Early Childhood,40.681183,-73.867071
Edmund W. Gordon Brooklyn Laboratory Charter Schoo,Secondary School,40.70043,-73.987399
Key Collegiate Charter School,Elementary,40.665264,-73.910292
Key Collegiate Charter School,Elementary,40.665264,-73.910292
I.S. 915,Junior High-Intermediate-Middle,40.695444,-73.986105
I.S. 915,Junior High-Intermediate-Middle,40.695444,-73.986105
Ivy Hill Preparatory Charter School,Elementary,40.643897,-73.922733
Brooklyn Prospect Charter School 15.2,Junior High-Intermediate-Middle,40.647893,-73.97872
East Brooklyn Ascend Charter School,Junior High-Intermediate-Middle,40.681183,-73.867071
LEEP Dual Language Academy,Elementary,40.642877,-74.012089
Lefferts Gardens Ascend Charter School,Elementary,40.652671,-73.939706
East Flatbush Ascend Charter School,Elementary,40.652671,-73.939706
Brooklyn RISE Charter School,Elementary,40.643747,-74.01214
"School of Math, Science, and Healthy Living",Elementary,40.639518,-74.020343
P.S. 001 Alfred E. Smith,Elementary,40.71255,-73.997478
P.S. 002 Meyer London,Elementary,40.712907,-73.991523
P.S. 003 Charrette School,Elementary,40.732603,-74.005949
P.S. 004 Duke Ellington,Elementary,40.834877,-73.941594
P.S. 005 Ellen Lurie,Elementary,40.857633,-73.922277
P.S. 006 Lillie D. Blake,Elementary,40.777737,-73.960427
P.S. 007 Samuel Stern,K-8,40.800616,-73.939374
P.S. 008 Luis Belliard,Elementary,40.839235,-73.936614
P.S. 009 Sarah Anderson,Elementary,40.785234,-73.974256
JHS 010 Frederick Douglas,Junior High-Intermediate-Middle,40.8243,-73.9371
P.S. 011 William T. Harris,Elementary,40.744186,-74.000743
Tag Young Scholars,K-8,40.792556,-73.942285
J.H.S. 013 Jackie Robinson,Junior High-Intermediate-Middle,40.793649,-73.948488
P.S. 015 Roberto Clemente,Elementary,40.722075,-73.978747
JHS 017 La Salle,Junior High-Intermediate-Middle,40.7614,-73.988
P.S. 018 Park Terrace,K-8,40.871456,-73.911732
P.S. 019 Asher Levy,Elementary,40.730009,-73.984496
P.S. 020 Anna Silver,Elementary,40.721305,-73.986312
P.S. 028 Wright Brothers,Elementary,40.83163,-73.942023
P.S. 030 Hernandez/Hughes,Elementary,40.805653,-73.935461
P.S. 033 Chelsea Prep,Elementary,40.749014,-74.000238
P.S. 034 Franklin D. Roosevelt,K-8,40.726008,-73.975058
P.S. 035,K-12 all grades,40.764129,-73.985899
P.S. 036 Margaret Douglas,Elementary,40.810705,-73.957409
River East Elementary,Elementary,40.799265,-73.93374
P.S. 38 Roberto Clemente,Elementary,40.788668,-73.944762
P.S. 040 Augustus Saint-Gaudens,Elementary,40.735328,-73.981536
P.S. 040 Augustus Saint-Gaudens,Elementary,40.735328,-73.981536
P.S. 041 Greenwich Village,Elementary,40.73545,-73.999094
P.S. 042 Benjamin Altman,Elementary,40.716126,-73.990826
J.H.S. M044 William J. O'Shea,Junior High-Intermediate-Middle,40.780536,-73.977602
M.S. 45/S.T.A.R.S. Prep Academy,Junior High-Intermediate-Middle,40.799265,-73.93374
P.S. 046 Arthur Tappan,K-8,40.8304,-73.9363
47 The American Sign Language and English Secondar,High school,40.738374,-73.981329
P.S. 048 P.O. Michael J. Buczek,Elementary,40.853193,-73.933629
P.S. 050 Vito Marcantonio,K-8,40.785559,-73.940919
P.S. 051 Elias Howe,Elementary,40.761487,-73.995825
Harold O. Levy School,Junior High-Intermediate-Middle,40.865556,-73.925464
J.H.S. 054 Booker T. Washington,Junior High-Intermediate-Middle,40.8007,-73.96327
JHS 056 Corlears,Junior High-Intermediate-Middle,40.7137,-73.9863
James Weldon Johnson,K-8,40.797205,-73.941598
P.S. 059 Beekman Hill International,Elementary,40.759248,-73.967204
The STAR Academy - P.S.63,Elementary,40.72444,-73.986214
P.S. 064 Robert Simon,Elementary,40.72313,-73.981597
Democracy Prep Endurance Charter School,Secondary School,40.810499,-73.948902
KIPP Washington Heights Middle School,K-12 all grades,40.839139,-73.935815
The Lexington Academy,K-8,40.791444,-73.94745
P.S. 075 Emily Dickinson,Elementary,40.795109,-73.973996
P.S. 076 A. Philip Randolph,K-8,40.806534,-73.951451
P.S. 77 Lower Lab School,Elementary,40.785018,-73.95042
P.S. M079 - Horan School,Secondary School,40.802547,-73.942009
Manhattan Charter School II,Elementary,40.713362,-73.986051
P.S. 083 Luis Munoz Rivera,Elementary,40.793363,-73.941955
P.S. 084 Lillian Weber,Elementary,40.789479,-73.968419
Global Community Charter School,Elementary,40.81698,-73.934951
P.S. 087 William Sherman,Elementary,40.78171,-73.97802
JHS 088 Wadleigh,Junior High-Intermediate-Middle,40.8022,-73.9542
P.S. 89,Elementary,40.71701,-74.013967
I S 090 Mirabel Sisters,Junior High-Intermediate-Middle,40.8393,-73.9362
P.S. 092 Mary McLeod Bethune,Elementary,40.814917,-73.945838
P.S. M094,K-12 all grades,40.706384,-74.017456
P.S. 096 Joseph Lanzetta,K-8,40.79969,-73.937179
P.S. 098 Shorac Kappock,Elementary,40.867741,-73.917814
JHS 099,Junior High-Intermediate-Middle,40.7856,-73.9425
Neighborhood Charter School of Harlem,K-8,40.823676,-73.945427
P.S. 101 Andrew Draper,Junior High-Intermediate-Middle,40.796098,-73.944546
P.S. 102 Jacques Cartier,Elementary,40.795,-73.938418
Dos Puentes Elementary School,Elementary,40.850561,-73.933964
J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,40.735879,-73.981034
P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,40.795032,-73.947855
PS 109 Century,Elementary,40.7856,-73.9425
P.S. 110 Florence Nightingale,Elementary,40.7162,-73.9798
P.S. 111 Adolph S. Ochs,Elementary,40.76588,-73.989776
P.S. 112 Jose Celso Barbosa,Early Childhood,40.796889,-73.930528
East Side Middle School,Junior High-Intermediate-Middle,40.780452,-73.947379
P.S. 115 Alexander Humboldt,Elementary,40.846116,-73.93514
P.S. 116 Mary Lindley Murray,Elementary,40.744511,-73.977906
Tito Puente Education Complex,Junior High-Intermediate-Middle,40.792556,-73.942285
P.S. 123 Mahalia Jackson,K-8,40.820216,-73.944551
P.S. 124 Yung Wing,Elementary,40.715097,-73.996017
P.S. 125 Ralph Bunche,Elementary,40.810793,-73.955722
P.S. 125 Ralph Bunche,Elementary,40.810793,-73.955722
P.S. 126 Jacob August Riis,K-8,40.710651,-73.99742
P.S. 128 Audubon,Elementary,40.841032,-73.938701
P.S. 129 John H. Finley,K-8,40.814914,-73.95202
P.S. 130 Hernando De Soto,Elementary,40.71866,-73.998326
M.S. 131,Junior High-Intermediate-Middle,40.716231,-73.993607
P.S. 132 Juan Pablo Duarte,Elementary,40.850561,-73.933964
P.S. 133 Fred R Moore,Elementary,40.809665,-73.939178
P.S. 134 Henrietta Szold,Elementary,40.714248,-73.983854
The Urban Assembly School for Emergency Management,High school,40.711441,-74.000851
P.S. 137 John L. Bernstein,Elementary,40.714248,-73.983854
P.S. 138,K-12 all grades,40.805653,-73.935461
Stephen T. Mather Building Arts & Craftsmanship Hi,High school,40.763655,-73.990318
P.S. 140 Nathan Straus,K-8,40.719148,-73.983769
P.S. 142 Amalia Castro,Elementary,40.718121,-73.984116
J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle,40.849311,-73.930991
"P.S. 145, The Bloomingdale School",Elementary,40.799098,-73.965611
P.S. 146 Ann M. Short,Elementary,40.789535,-73.938727
Eagle Academy for Young Men of Harlem,Secondary School,40.817228,-73.947151
P.S. 149 Sojourner Truth,K-8,40.802649,-73.948088
P.S. 150,Elementary,40.71953,-74.01088
Yorkville Community School,Elementary,40.777948,-73.947287
P.S. 152 Dyckman Valley,Elementary,40.859804,-73.927578
P.S. 153 Adam Clayton Powell,Elementary,40.826514,-73.947599
P.S. 154 Harriet Tubman,Elementary,40.810499,-73.948902
P.S. 155 William Paca,Elementary,40.797507,-73.935895
The Urban Assembly School for Global Commerce,High school,40.807019,-73.938714
P.S. 158 Bayard Taylor,Elementary,40.770215,-73.950745
P.S. 161 Pedro Albizu Campos,K-8,40.817719,-73.952476
PS 162m,Ungraded,40.8025,-73.9467
P.S. 163 Alfred E. Smith,Elementary,40.795163,-73.96847
JHS 164 Edward W Stitt,Junior High-Intermediate-Middle,40.8366,-73.9373
P.S. 165 Robert E. Simon,K-8,40.802653,-73.965949
P.S. 166 The Richard Rodgers School of The Arts an,Elementary,40.788925,-73.972557
J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,40.771541,-73.957827
East Harlem Scholars Academy Charter School II,Elementary,40.793649,-73.948488
P.S. M169 - Robert F. Kennedy,K-12 all grades,40.780798,-73.955594
Success Academy Hell's Kitchen (Manhattan 2),Elementary,40.763655,-73.990318
P.S. 171 Patrick Henry,K-8,40.792302,-73.951425
Powell M.S. for Law & Social Justice,Junior High-Intermediate-Middle,40.8153,-73.9553
P.S. 173,Elementary,40.845459,-73.939785
Success Academy Union Square (Manhattan 1),K-8,40.735361,-73.987064
P.S. 175 Henry H Garnet,Elementary,40.814388,-73.942706
PS 176,Elementary,40.8667,-73.924
Yorkville East Middle School,Junior High-Intermediate-Middle,40.770215,-73.950745
Professor Juan Bosch Public School,Elementary,40.85924,-73.928301
P.S. 180 Hugo Newman,K-8,40.80757,-73.955861
The Bilingual Bicultural School,Elementary,40.793363,-73.941955
P.S. 183 Robert L. Stevenson,Elementary,40.763804,-73.957731
P.S. 184m Shuang Wen,K-8,40.711125,-73.985438
The Locke School of Arts and Engineering,Elementary,40.798461,-73.950146
Harlem Hebrew Language Charter School,Elementary,40.804559,-73.952751
P.S./I.S. 187 Hudson Cliffs,K-8,40.856239,-73.93684
P.S. 188 The Island School,K-8,40.719888,-73.97738
P.S. 189,Elementary,40.853045,-73.928048
The Riverside School for Makers and Artists,K-8,40.7722,-73.990902
P.S. 192 Jacob H. Schiff,Elementary,40.82051,-73.952023
P.S. 194 Countee Cullen,Elementary,40.821208,-73.941111
I.S. 195 Roberto Clemente,Junior High-Intermediate-Middle,40.819793,-73.956814
PS 196 Umbrella,Elementary,40.7195,-73.9777
P.S. 197 John B. Russwurm,Elementary,40.813532,-73.938347
P.S. 198 Isador E. Ida Straus,Elementary,40.785018,-73.95042
P.S. 199 Jessie Isador Straus,Elementary,40.777603,-73.984423
P.S. 200- The James McCune Smith School,Elementary,40.823988,-73.935746
Great Oaks Charter School,Secondary School,40.719676,-73.991859
Amber Charter School II,Elementary,40.853517,-73.932869
Capital Preparatory (CP) Harlem Charter School,Secondary School,40.793098,-73.951367
P.S. 206 Jose Celso Barbosa,K-8,40.796889,-73.930528
The Alain L. Locke Magnet School for Environmental,Elementary,40.798461,-73.950146
Hamilton Grange Middle School,Junior High-Intermediate-Middle,40.82051,-73.952023
P.S./I.S. 210 - Twenty-first Century Academy for C,K-8,40.830004,-73.944666
Inwood Early College for Health and Information Te,High school,40.865556,-73.925464
P.S. 212 Midtown West,Elementary,40.761327,-73.988665
P.S./I.S. 217 Roosevelt Island,K-8,40.753598,-73.956435
I.S. 218 Salome Urena,Junior High-Intermediate-Middle,40.860951,-73.930082
The Mott Hall School,Junior High-Intermediate-Middle,40.816626,-73.951292
M.S. 224 Manhattan East School for Arts & Academic,Junior High-Intermediate-Middle,40.785107000000004,-73.942154
Ella Baker School,K-8,40.765638,-73.959777
P.S. M226,K-12 all grades,40.732665,-73.98259
P.S. 234 Independence School,Elementary,40.71953,-74.01088
STEM Institute of Manhattan,Elementary,40.801573,-73.955583
