location_name,Location_Category_Description,LATITUDE,LONGITUDE
P.S. 107 John W. Kimball,Elementary,40.662945,-73.981181
P.S. 108 Sal Abbracciamento,Elementary,40.681295,-73.884348
P.S. 109,K-8,40.635842,-73.933099
P.S. 109,K-8,40.635842,-73.933099
P.S. 110 The Monitor,Elementary,40.723743,-73.941926
P.S. 112 Lefferts Park,Elementary,40.619417,-74.000565
M.S. 113 Ronald Edmonds Learning Center,Junior High-Intermediate-Middle,40.688769,-73.971474
P.S. 114 Ryder Elementary,Elementary,40.642684,-73.90788
P.S. 115 Daniel Mucatel School,Elementary,40.634861,-73.897896
P.S. 116 Elizabeth L Farrell,Elementary,40.698077,-73.916563
J.H.S. 117 Francis Scott Key,Junior High-Intermediate-Middle,40.6926,-73.9588
The Maurice Sendak Community School,Elementary,40.671145,-73.987602
P.S. 119 Amersfort,Elementary,40.626038,-73.938733
P.S. 120 Carlos Tapia,Elementary,40.700819,-73.937888
P.S. 121 Nelson A. Rockefeller,K-8,40.622671,-73.978472
Pathways in Technology Early College High School (,High school,40.675905,-73.939282
P.S. 123 Suydam,Elementary,40.704076,-73.922388
P.S. 124 Silas B. Dutcher,Elementary,40.667464,-73.99062
Success Academy Charter School - Bed-Stuy 2,Elementary,40.697619,-73.943279
John Ericsson Middle School 126,Junior High-Intermediate-Middle,40.719818,-73.947932
P.S. 127 Mckinley Park,Elementary,40.623687,-74.018429
P.S. 128 Bensonhurst,Elementary,40.60498,-73.995084
Success Academy Charter School - Cobble Hill,K-8,40.685006,-73.993293
P.S. 130 The Parkside,Elementary,40.648924,-73.976053
P.S. 131 Brooklyn,Elementary,40.640728,-73.993247
P.S. 132 The Conselyea School,Elementary,40.714772,-73.945663
P.S. 133 William A. Butler,Elementary,40.679916,-73.980455
P.S. K134,Elementary,40.632145,-73.97318
P.S. 135 Sheldon A. Brookner,Elementary,40.653093,-73.932949
I.S. 136 Charles O. Dewey,Junior High-Intermediate-Middle,40.652127,-74.007596
P.S./I.S. 137 Rachel Jean Mitchell,Elementary,40.682248,-73.916641
P.S. 138 Brooklyn,K-8,40.673943,-73.951559
P.S. 138 Brooklyn,K-8,40.673943,-73.951559
P.S. 139 Alexine A. Fenty,Elementary,40.64134,-73.965862
P.S. K140,K-8,40.68192,-73.9456
P.S. K141,K-12 all grades,40.656423,-73.951575
JHS 142,Junior High-Intermediate-Middle,40.6801,-74.0014
M.S. 143 Performing & Fine Arts,Junior High-Intermediate-Middle,40.6883,-73.932
P.S. 145 Andrew Jackson,Elementary,40.701107,-73.932388
"The Brooklyn New School, P.S. 146",Elementary,40.679462,-74.002022
P.S. 147 Isaac Remsen,Elementary,40.705005,-73.93879
P.S. 149 Danny Kaye,Elementary,40.669361,-73.89276
P.S. 150 Christopher,Elementary,40.668768,-73.90514
P.S. 151 Lyndon B. Johnson,Elementary,40.693432,-73.908242
School of Science & Technology,Elementary,40.632619,-73.954269
School of Science & Technology,Elementary,40.632619,-73.954269
P.S. 153 Homecrest,Elementary,40.601179,-73.960027
The Windsor Terrace School,Elementary,40.657002,-73.975967
P.S./ I.S. 155 Nicholas Herkimer,K-8,40.677634,-73.908682
P.S. 156 Waverly,Elementary,40.665553,-73.91788
P.S./I.S. 157 The Benjamin Franklin Health & Scien,K-8,40.695397,-73.959999
P.S. 158 Warwick,Elementary,40.67259,-73.885214
